Geneid	control_RPF_3	Fmr1_RNA_2	Fmr1_RPF_1	control_RPF_2	Fmr1_RNA_3	Fmr1_RNA_4	control_RNA_3_x	Fmr1_RPF_2	control_RNA_2	control_RNA_3_y	Fmr1_RNA_1	control_RNA_1	Fmr1_RPF_3	control_RPF_1		
Cth	36	103	22	30	69	73	71	24	81	71	73	67	28	27		
Slc25a41	1	0	0	0	0	1	1	0	0	1	2	2	0	1		
Epop	70	1161	60	92	722	976	814	63	733	814	972	627	77	48		
Nt5dc3	452	2274	415	580	2041	2148	1897	466	2408	1897	2012	2324	659	417		
9530003J23Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0		
Gnb4	323	1827	277	335	1574	1706	1527	322	1823	1527	1703	1853	368	291		
Gnb3	17	1	7	11	3	1	0	15	0	0	0	3	10	11		
Kcnip3	516	2443	456	617	1786	2120	1732	555	1806	1732	2216	1903	688	536		
Snap91	2721	10134	2675	3296	7400	8234	8166	2802	9036	8166	8944	8685	3495	2591		
Kdm5c	301	2315	311	409	1756	1924	1648	324	2047	1648	2060	2147	432	283		
Tecta	3	7	5	6	12	11	8	2	8	8	12	5	4	1		
Dnaaf4	4	22	8	8	27	33	21	5	39	21	33	42	10	2		
1500009L16Rik	5	297	5	11	259	306	214	9	274	214	251	246	5	9		
Rfpl4	0	0	0	0	0	0	0	0	1	0	1	0	0	1		
Vwa5b2	79	511	54	87	321	340	310	88	327	310	512	334	88	62		
Was	11	15	12	9	20	23	20	5	20	20	21	17	14	6		
Nrsn1	65	6311	62	77	4513	4559	5510	91	4350	5510	5291	4271	79	62		
2310079G19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Ccdc78	0	25	1	0	20	15	21	0	19	21	28	19	1	0		
Ifi47	2	19	1	7	17	10	4	8	26	4	15	21	6	1		
Myo10	192	901	223	248	534	537	582	189	676	582	807	700	322	188		
Ggt1	6	40	4	13	12	18	13	11	19	13	22	28	8	9		
Cct5	1120	3135	1238	1473	2438	2841	2213	1268	2749	2213	2764	2889	1706	1109		
Hhex	9	33	8	14	20	14	11	6	16	11	29	16	5	10		
Pdk1	161	1940	142	185	1705	1692	1544	147	2075	1544	1638	1834	205	144		
Lhfpl3	49	908	53	52	971	1022	751	40	986	751	850	903	55	46		
Ripk1	18	175	26	38	123	134	116	24	158	116	158	163	42	21		
Tnni2	0	5	1	0	8	3	7	0	1	7	2	4	0	0		
Gm6570	0	4	0	0	0	0	0	0	0	0	2	0	0	1		
Gsc	0	0	0	0	0	2	0	1	1	0	0	0	0	0		
Il18bp	0	53	0	1	31	41	23	2	49	23	53	37	3	0		
Tle3	129	970	153	209	728	854	615	138	827	615	868	924	246	113		
Spic	0	0	0	0	2	1	0	0	0	0	1	0	0	1		
Ccr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Tubgcp6	65	602	105	116	487	440	431	92	498	431	526	569	110	95		
Reg4	0	0	0	0	1	1	0	0	0	0	0	0	1	0		
Pcnx4	142	1169	125	183	917	854	928	151	909	928	983	865	182	135		
Tmem179b	12	106	12	24	89	83	45	24	89	45	83	64	19	19		
Tob2	103	723	90	98	456	477	436	98	458	436	627	459	107	99		
Xpo4	48	644	59	67	562	482	596	51	635	596	569	602	66	63		
Lipt2	9	73	13	14	79	93	52	13	76	52	85	82	16	10		
Arhgap28	4	24	7	6	30	31	28	4	31	28	22	26	11	9		
Stim1	239	1696	254	322	1486	1434	1550	328	1590	1550	1488	1599	352	252		
Elmo2	761	3370	714	856	2581	2966	2485	808	2862	2485	2882	2796	975	778		
C8a	0	0	0	1	2	2	0	0	0	0	1	0	1	1		
Vwa7	3	13	1	4	6	10	10	0	8	10	18	2	7	1		
Oas2	0	8	2	1	4	2	5	1	7	5	9	8	1	2		
Med13l	139	3130	232	307	2245	2543	2396	175	2448	2396	2807	2492	275	175		
Hcfc1	609	3055	694	864	2325	2724	2005	635	2648	2005	2678	2857	980	560		
Inhbe	2	6	0	2	8	3	3	1	5	3	2	5	0	0		
Fosl2	175	1491	89	102	632	895	777	180	663	777	1290	678	125	158		
Fosb	73	287	22	21	52	69	107	109	69	107	253	59	22	90		
Phkg1	81	266	83	116	224	212	201	92	195	201	216	194	69	78		
Phf2	155	967	133	192	689	764	617	123	724	617	883	745	160	120		
Prmt9	155	508	172	171	363	379	367	183	440	367	486	448	191	163		
Sv2b	2363	18388	2232	2757	14267	15578	15629	2538	15659	15629	16218	15597	2951	2375		
Tmem132a	1745	6046	1959	2547	5849	6554	4932	1873	5681	4932	5521	6347	2556	1608		
Nol12	45	221	40	56	135	167	127	43	117	127	188	173	60	44		
Irak3	7	14	3	7	11	10	4	2	16	4	9	12	3	3		
Bbox1	7	16	5	9	17	12	19	4	20	19	16	17	13	9		
Aste1	14	151	12	19	87	115	91	14	119	91	129	124	22	19		
Emx2	21	187	26	30	119	153	108	35	118	108	139	95	34	18		
Hnrnph1	1139	2324	1306	1559	1889	1808	1665	1244	2350	1665	2072	2252	1605	1105		
Ttc38	29	166	39	26	146	176	190	37	158	190	193	167	37	28		
Cryba1	1	7	1	4	3	5	1	0	6	1	6	10	2	0		
Csn1s2a	0	0	0	3	0	0	0	0	0	0	0	0	0	0		
Med28	140	1225	102	136	894	977	913	137	1052	913	1022	918	160	110		
Cyp2j13	1	3	2	0	0	1	1	0	0	1	5	5	2	0		
Anapc7	178	510	225	302	333	402	438	208	425	438	408	411	269	192		
Nudt5	114	244	98	122	178	214	175	109	233	175	212	205	135	111		
Gsdma2	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Dbnl	427	997	434	631	757	854	766	493	836	766	906	871	683	389		
Csrp3	0	0	0	0	0	0	0	0	0	0	0	1	1	1		
H2-Q8	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Gm1070	0	2	0	0	3	3	2	0	3	2	1	4	0	0		
Zdhhc2	66	2846	60	65	2160	2122	2186	75	2385	2186	2385	2262	79	76		
Gm536	0	5	0	0	5	1	0	0	2	0	2	1	0	0		
Kars	416	1204	374	504	1040	1232	945	432	1004	945	1116	1131	501	355		
Kifc3	106	803	104	150	728	726	628	102	777	628	699	778	154	74		
Dmrtc1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Gm973	31	122	19	29	87	123	79	32	113	79	102	96	31	20		
Zfp654	82	1109	93	102	877	746	1000	102	997	1000	939	912	114	71		
Znrf1	109	3174	83	111	2326	2841	2175	108	2209	2175	2824	2222	100	92		
Sirt3	102	1053	123	138	948	1043	755	105	949	755	973	1035	135	98		
Zmiz1	383	2119	437	637	1507	1745	1437	408	1713	1437	2044	1734	597	362		
Cd226	0	5	2	0	5	2	2	0	7	2	8	7	4	0		
3110040N11Rik	47	152	33	54	115	145	110	43	178	110	142	142	45	39		
Ino80e	104	235	101	138	199	260	148	111	194	148	239	199	145	111		
Vmn2r38	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Tnfrsf25	0	34	1	0	10	2	7	0	11	7	26	17	1	0		
Fgfr1op2	116	2777	101	117	2092	2370	2070	125	2316	2070	2296	2067	139	120		
Stag1	123	1590	128	109	1268	1206	1202	106	1471	1202	1305	1359	163	105		
D430042O09Rik	60	638	57	102	472	529	470	64	512	470	560	610	82	66		
Vmn2r121	0	0	0	0	0	0	0	0	0	0	0	0	0	1		
Serpinb10	0	0	0	0	0	1	2	0	0	2	1	0	0	0		
Crybg2	0	6	2	3	7	6	9	2	5	9	7	7	4	3		
Mr1	19	89	16	12	71	105	72	27	82	72	83	99	25	15		
H2-T3	0	0	0	0	0	0	0	0	0	0	0	0	0	1		
Ap1g1	590	3463	527	705	2831	3012	2905	673	3257	2905	3045	3464	745	559		
Aox1	16	76	11	32	54	59	60	16	61	60	77	61	23	10		
Camk4	1397	17198	1387	1817	13461	14263	14799	1561	15679	14799	14643	14870	1863	1293		
Mrpl36	161	514	121	158	454	478	342	179	452	342	432	410	152	169		
Tcte3	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Tra2a	366	1195	282	358	751	800	698	399	957	698	1030	969	413	338		
Bst2	20	46	11	16	32	45	37	28	44	37	38	39	16	20		
Klhl30	1	6	0	1	3	7	1	0	4	1	3	3	0	0		
Sorcs1	386	1741	352	512	1454	1576	1367	377	1505	1367	1509	1542	529	297		
Tlcd1	63	340	51	81	275	326	175	74	244	175	274	251	62	63		
Chrna6	3	18	4	6	10	15	10	6	13	10	16	17	7	4		
Prdm5	3	102	13	10	125	123	77	8	115	77	88	94	13	11		
Nebl	198	3098	144	237	2648	2621	2526	186	2835	2526	2638	2613	219	170		
Asb17	0	0	0	0	0	0	0	0	1	0	0	0	0	0		
Lrrc42	156	197	175	226	169	164	197	175	168	197	159	179	237	142		
Erp44	346	1005	273	378	796	858	925	384	962	925	939	867	438	323		
Afap1	84	711	117	142	518	595	505	83	640	505	629	616	120	87		
Ep400	349	2668	434	593	2259	2365	2015	392	2368	2015	2322	2374	639	356		
Tbx20	0	0	0	2	1	0	0	0	3	0	0	1	2	0		
Arid4b	311	1586	263	402	1128	1073	1268	341	1512	1268	1328	1344	433	297		
Pdcd1	1	2	0	0	3	6	5	0	3	5	3	2	0	0		
Pcp4	2346	6448	1809	2396	5795	7570	4829	2417	6354	4829	5629	6142	2511	2114		
Pcolce	72	112	90	125	98	97	69	77	107	69	100	113	122	48		
Sphkap	763	6299	838	1065	5310	6147	4573	862	6033	4573	5809	6168	1135	682		
Champ1	210	911	239	350	703	755	697	213	826	697	841	807	331	202		
Prl2c5	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Desi1	185	1853	166	228	1164	1343	1333	194	1077	1333	1631	1100	246	206		
Ak5	684	2429	734	1063	1579	2049	2097	773	1821	2097	2180	1837	1074	639		
Gdf3	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
Opn1mw	0	5	0	1	1	4	5	0	10	5	1	3	0	1		
Med17	177	607	135	230	472	522	403	189	541	403	556	512	206	172		
Chil5	0	19	1	0	6	5	5	0	14	5	10	13	1	0		
Bcl7c	9	269	11	21	192	210	191	17	204	191	237	263	17	12		
Hpgd	41	177	41	57	119	134	121	41	150	121	156	108	50	46		
Ptcd2	120	732	118	146	581	609	555	136	657	555	558	575	148	144		
Poteg	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
Amhr2	1	5	4	3	10	12	5	0	9	5	10	7	3	1		
Raet1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Rad51b	1	5	2	3	6	7	5	2	10	5	3	4	4	0		
Olfr297	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr307	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr305	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr986	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr971	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr229	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr968	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr970	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Mbd5	96	1971	109	119	1479	1598	1331	104	1699	1331	1779	1678	167	98		
Abhd8	421	4328	331	464	3515	4201	3277	421	3325	3277	3771	3287	488	386		
Ngb	10	117	15	25	159	161	97	7	157	97	108	140	18	14		
Trpv6	0	198	3	4	139	157	132	2	158	132	189	166	7	4		
Maea	405	1514	334	465	1301	1590	1245	488	1392	1245	1360	1399	483	366		
Klhdc2	827	3373	647	844	2693	2810	2813	888	3036	2813	2810	2962	865	804		
Nkpd1	4	16	7	7	18	18	9	1	26	9	19	17	7	2		
Mapk1ip1	74	424	83	129	267	258	205	93	321	205	343	324	130	86		
Wdr5b	11	88	24	21	115	86	92	18	112	92	79	110	20	13		
Capns2	0	10	2	0	7	0	1	0	3	1	7	6	0	1		
Lyg1	0	0	0	0	1	0	0	0	0	0	0	0	0	0		
Nedd8	747	1341	892	1181	1494	1623	1073	842	1620	1073	1221	1932	1254	760		
Celf2	1450	10128	1238	1656	7005	6450	7758	1602	8434	7758	8654	7683	1693	1443		
Gpbp1	158	3121	145	188	2660	2548	2522	143	3075	2522	2720	2847	203	156		
Usp51	1	42	3	3	34	33	33	3	44	33	37	33	1	7		
Sh3bp2	8	69	9	13	49	57	48	9	43	48	56	62	23	11		
Ppp1r16b	144	5124	97	160	3692	4716	3948	127	3493	3948	4512	3584	152	110		
Irak1	30	903	29	39	639	763	621	46	615	621	793	643	41	34		
Rpl37rt	1	99	2	1	64	57	48	5	89	48	65	64	2	2		
Dnajc5	995	9931	908	1204	8204	9422	7917	1140	8511	7917	8922	8826	1215	981		
Slc2a7	0	0	0	0	0	1	0	0	0	0	0	0	1	1		
Dnaja1	137	3024	89	111	2480	2292	2816	139	3108	2816	2646	2832	125	130		
Adam5	2	2	2	4	9	3	5	1	4	5	7	7	7	3		
Nap1l1	140	3729	120	157	2664	2794	3396	137	3100	3396	3104	2739	159	103		
Nell2	2733	12167	2787	3553	10904	12899	10480	2967	10718	10480	11031	11329	3723	2481		
Acox3	119	602	119	144	438	533	420	127	435	420	556	488	160	117		
Lclat1	182	1174	164	176	924	1054	985	171	1014	985	1175	1051	230	154		
Rnf216	241	1178	248	305	879	1044	882	220	930	882	1041	952	281	227		
Actrt3	2	19	4	2	22	15	22	2	13	22	15	11	2	0		
Atp6v0c	33	21	17	21	23	26	17	41	25	17	22	25	27	22		
Smyd3	197	718	173	203	577	616	583	196	583	583	581	645	220	186		
Trem2	63	125	51	61	119	137	104	62	109	104	129	124	72	52		
LTO1	83	256	74	89	170	188	169	83	210	169	248	209	120	68		
Tsga13	0	1	0	0	0	3	1	0	3	1	1	2	0	1		
Klf7	93	394	92	128	305	316	252	122	265	252	317	295	156	73		
Ndufab1	7	294	12	12	280	302	228	6	299	228	285	276	11	5		
Tbc1d5	162	902	180	227	719	757	670	214	763	670	756	722	221	182		
Plcz1	3	15	7	11	20	30	18	3	31	18	5	31	11	3		
Ccl21c	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Kifc2	241	6924	283	326	5512	6375	5280	277	5301	5280	6244	5582	344	238		
Resf1	66	637	60	64	478	492	482	52	567	482	577	509	72	46		
Spta1	3	2	5	8	15	13	6	2	19	6	5	15	19	3		
Olfr323	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr918	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr368	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr509	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr47	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr434	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr361	1	0	0	0	0	0	0	0	0	0	0	0	0	0		
Map7d1	897	3748	1069	1471	3190	3562	3255	962	3548	3255	3425	3627	1497	784		
Ikzf4	21	274	13	14	186	173	198	10	199	198	221	189	19	12		
Zscan22	21	222	21	33	149	178	108	34	180	108	195	200	25	38		
Herc6	31	264	12	8	139	166	239	27	91	239	212	94	20	25		
Pih1h3b	0	1	0	0	1	5	3	0	1	3	3	1	0	0		
AV320801	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Phldb2	16	178	24	20	135	145	105	20	208	105	166	169	43	20		
Angpt1	43	259	27	53	356	284	242	39	385	242	238	384	61	24		
Slc25a5	245	3443	197	284	2721	3030	2631	216	3113	2631	3048	3020	259	194		
Cd7	4	11	4	5	12	14	6	1	6	6	11	5	3	3		
Cd6	9	33	9	13	35	60	19	7	41	19	52	45	14	7		
Tapbp	118	517	109	119	454	505	349	113	482	349	526	501	145	102		
Tal2	0	6	0	1	2	7	1	0	3	1	1	7	0	1		
Mcrip1	255	609	201	300	482	554	504	296	477	504	578	459	289	230		
Amy2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Iffo2	124	702	55	97	562	527	445	75	627	445	538	657	139	83		
Cass4	7	28	3	3	19	28	17	0	18	17	21	24	5	5		
Vmn2r52	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Vmn2r79	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Pcdh19	294	2174	317	463	2013	1766	1723	293	2483	1723	1799	2372	462	257		
Gsg1l	77	1749	68	88	1666	1874	1366	63	1736	1366	1608	1755	90	67		
Mpp6	227	1885	184	221	1636	1836	1727	214	1791	1727	1650	1687	221	176		
D430019H16Rik	142	4139	105	142	3673	3853	3619	119	3765	3619	3671	3893	129	119		
Rnf10	259	3736	234	338	2917	3241	3379	259	2719	3379	3357	2929	314	273		
Rbpms	12	65	9	17	40	37	30	9	50	30	56	62	9	12		
Zfhx3	36	480	56	79	320	349	387	35	405	387	434	403	80	46		
Tfap2d	10	68	5	18	94	74	71	12	99	71	62	84	13	5		
Tspan33	71	417	75	84	385	394	315	87	353	315	413	384	94	66		
Slc25a24	10	65	16	19	64	61	68	11	87	68	50	78	10	10		
Rtl8a	0	282	0	0	198	233	171	0	196	171	243	190	0	0		
Rdh16	0	3	0	1	3	0	1	0	2	1	2	2	0	0		
Sec31a	604	2437	642	881	1890	2063	1666	695	2082	1666	2141	2230	885	642		
Gpr63	21	155	18	29	79	108	144	22	117	144	123	110	26	33		
H2al3	0	0	0	0	0	0	0	0	0	0	0	0	0	1		
Kif17	97	379	82	147	258	252	253	84	261	253	340	269	133	72		
Grk2	446	4408	476	631	3589	4322	3298	504	3422	3298	3891	3430	690	472		
Ccdc170	6	13	5	4	15	13	12	2	20	12	19	20	2	3		
Spink2	0	0	0	0	0	0	0	0	0	0	0	1	1	0		
Il17ra	87	368	59	103	273	372	276	81	287	276	345	317	102	75		
H2-M9	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Ano6	50	585	52	68	406	497	346	65	486	346	470	467	69	44		
Cacng4	53	1147	72	83	802	953	800	103	785	800	965	824	104	76		
Cep76	48	305	41	65	217	232	201	67	238	201	249	237	51	55		
Cnr1	607	8655	567	809	7127	7663	7032	698	7831	7032	7276	7310	770	620		
Speer4e	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Foxn1	0	0	0	0	0	1	0	0	0	0	0	1	1	0		
Gm2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Dusp15	55	349	58	81	323	343	240	51	347	240	265	332	68	40		
Dync1i1	1005	2401	1021	1426	2032	2174	2020	1075	2430	2020	2143	2460	1430	984		
Syt2	144	1232	182	233	1049	1113	1102	162	1172	1102	1064	1264	192	143		
Nfu1	121	554	94	193	463	576	449	164	469	449	501	488	158	135		
Ranbp3	402	1278	348	499	1075	1269	930	421	1200	930	1056	1130	519	375		
Fam234a	55	279	46	53	232	271	249	51	206	249	274	258	67	50		
Ap1s2	178	1171	176	204	1048	1027	952	188	1176	952	1074	1031	230	196		
Tcf19	11	94	6	12	80	111	50	7	95	50	99	65	5	5		
Abhd4	252	1299	176	240	1204	1478	994	236	895	994	1182	1033	245	224		
Pfdn2	478	439	463	591	434	383	473	443	443	473	369	464	701	456		
Tmem246	219	1419	201	226	1154	1263	975	230	1282	975	1206	1265	246	195		
Tdrd5	4	33	8	11	28	33	19	1	31	19	32	35	8	1		
Mak	18	44	14	18	45	50	67	14	42	67	48	34	12	15		
5730409E04Rik	329	2016	299	378	1453	1641	1593	362	1738	1593	1855	1778	398	338		
Wdr31	19	70	14	27	43	53	63	22	74	63	67	57	29	19		
Slmap	244	3528	180	288	2490	2617	3052	281	3052	3052	3047	2852	277	223		
Pitpnm2	528	3488	586	772	2402	2872	2725	578	2441	2725	3188	2611	768	556		
Ppt1	480	2195	479	590	2043	2141	1501	519	2247	1501	1979	2369	620	488		
Smarcc1	345	1576	443	597	1064	1151	1363	388	1175	1363	1405	1313	618	388		
Atp2a1	11	8	10	18	1	5	6	11	6	6	7	9	15	8		
Mras	420	4490	376	511	3578	4628	3199	428	3378	3199	4134	3660	533	377		
Pdcd2	57	220	53	100	162	189	176	83	178	176	195	190	93	69		
Ube2g1	306	1938	263	351	1437	1589	1604	316	1588	1604	1680	1525	365	306		
Adamtsl1	32	145	42	45	140	167	80	25	163	80	138	149	53	23		
Prr19	0	3	1	1	0	1	4	0	1	4	0	0	1	0		
Chek1	4	49	3	5	28	28	21	6	35	21	37	42	7	6		
Usp48	202	1679	214	315	1269	1169	1221	244	1602	1221	1439	1522	310	229		
Chd1	108	933	114	139	637	731	681	111	831	681	826	834	165	92		
Tfr2	15	71	11	14	44	56	52	9	48	52	75	56	10	10		
Mpi	336	887	294	361	692	837	605	385	741	605	771	859	383	309		
Ccdc34	42	202	60	57	190	187	174	42	248	174	163	201	46	36		
Hacd3	1164	5101	1110	1368	4456	4819	4397	1234	4912	4397	4346	4892	1450	1112		
Zfp318	151	1226	227	322	1194	1271	1012	127	1357	1012	1139	1332	333	148		
Kifc5b	4	18	4	4	12	10	10	2	11	10	19	14	4	1		
Fgd3	30	144	44	47	122	156	83	41	171	83	113	155	52	36		
Nupl2	48	177	61	63	139	134	140	53	139	140	149	143	73	42		
1700066C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Dapk2	16	47	9	14	61	56	53	11	51	53	47	54	16	5		
Odf2l	38	238	26	34	186	154	155	48	231	155	197	185	32	35		
Per2	98	818	85	118	410	459	570	124	382	570	700	392	99	107		
Cdkl4	29	446	28	41	480	504	411	35	478	411	427	458	57	34		
Pdp1	693	4541	559	764	3479	3883	3424	773	4007	3424	3858	3744	715	731		
Aldoa	6805	23458	6500	8589	19783	25699	17502	7246	19462	17502	22087	22400	8768	6438		
Gstt2	7	32	10	14	28	22	14	18	12	14	14	25	8	11		
Ptgfrn	181	1289	194	270	1108	1219	1059	157	1279	1059	1126	1300	282	182		
Ankrd49	36	400	32	45	414	401	334	33	388	334	300	441	37	30		
Gpr89	126	642	134	209	507	510	518	159	503	518	568	573	190	138		
Ntmt1	82	466	65	113	372	322	374	89	434	374	406	407	106	72		
Olfr356	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Agpat3	494	4768	454	609	3027	4220	3489	538	2936	3489	4412	2933	662	510		
Rnf185	76	632	98	109	446	524	472	86	496	472	608	547	131	91		
Ablim3	45	625	45	52	408	461	403	41	413	403	563	462	67	38		
Mpp7	34	201	23	42	181	148	180	40	180	180	194	182	41	33		
Csad	97	359	102	139	288	326	245	89	351	245	319	359	143	78		
Pnpla6	187	804	158	244	633	661	481	208	621	481	665	638	226	164		
Tmem106a	3	8	5	7	11	8	12	3	13	12	15	6	4	1		
Lrrc74a	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Olfr55	0	3	0	0	0	2	0	0	6	0	1	3	0	0		
Fgf12	821	7535	709	836	6857	7024	6765	822	7306	6765	6477	6623	958	821		
Nadk2	160	1065	165	198	1034	914	964	195	1053	964	940	1011	262	141		
Impact	2123	10244	1768	2198	7792	8023	8646	2285	9645	8646	8854	8974	2391	2114		
Plg	0	1	0	0	1	1	0	0	1	0	1	2	0	0		
Dnah11	1	19	1	4	13	13	19	2	15	19	18	20	7	4		
Dyrk1b	78	518	58	102	365	457	365	105	365	365	445	373	92	67		
Pde10a	581	9009	526	694	6740	7798	6700	686	7377	6700	8048	7554	785	584		
Gpr87	0	7	0	0	2	1	3	0	12	3	12	3	0	0		
Sparc	2950	6951	2642	3555	5008	5942	4907	3182	5254	4907	6499	5748	3601	2686		
Drc7	10	22	3	4	17	23	17	6	12	17	10	16	9	9		
Skp2	10	111	5	2	72	97	54	10	112	54	102	105	14	12		
Stx2	24	313	29	34	274	282	245	36	273	245	282	257	29	18		
Traf2	39	196	42	42	145	163	143	52	163	143	154	145	45	47		
Rdh13	56	479	51	59	358	369	312	59	428	312	420	436	75	46		
Pld6	3	32	6	7	10	9	8	2	14	8	10	9	5	0		
Dolpp1	45	325	54	64	228	266	257	54	231	257	273	237	64	58		
Rgs3	18	267	20	31	204	192	180	14	213	180	223	229	25	26		
Crem	92	530	66	105	408	454	380	100	479	380	451	431	105	98		
Dlg4	1372	14224	1418	1776	11649	13851	11318	1412	10738	11318	13241	12074	1928	1230		
Chmp3	118	2308	107	128	1983	2074	1803	126	2188	1803	1968	2144	130	112		
Zzz3	40	1961	56	69	1489	1616	1522	44	1658	1522	1670	1559	78	64		
Olfr659	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Sumo3	305	1755	276	376	1814	1888	1496	353	1699	1496	1752	1747	406	277		
Fam205a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Fam205a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Fam118a	50	462	47	86	343	351	342	53	356	342	375	348	72	59		
Commd8	175	1261	131	180	1166	1064	1076	199	1212	1076	1063	1137	178	189		
S100a16	246	813	205	282	717	1023	589	230	662	589	695	739	276	208		
Nme7	125	416	109	121	307	349	298	150	351	298	352	388	145	107		
Mustn1	4	28	3	1	10	28	13	3	25	13	21	23	7	6		
Leprot	57	500	77	78	487	526	510	86	563	510	490	548	114	70		
Gimap5	2	10	0	0	5	2	4	1	9	4	7	12	2	0		
Adnp2	133	753	148	167	535	611	548	148	579	548	734	559	195	137		
Fancb	12	79	6	9	61	80	51	11	64	51	72	73	25	12		
Trim50	0	0	1	0	0	1	0	0	1	0	0	0	0	0		
Ngf	10	32	12	19	45	46	32	14	27	32	28	49	18	16		
Clip4	206	1179	230	284	856	920	999	228	985	999	1016	923	258	212		
Zw10	101	341	56	111	210	220	206	84	277	206	286	251	109	72		
Ylpm1	552	2718	738	1036	1889	1823	2009	575	2423	2009	2280	2507	976	517		
Tril	96	1555	137	174	1303	1573	1169	95	1384	1169	1397	1447	164	98		
Prorsd1	10	95	12	13	77	88	72	16	115	72	77	84	22	13		
Wdr55	39	193	24	39	132	175	130	24	129	130	165	164	41	24		
Serpini2	0	0	0	0	0	0	0	0	1	0	0	0	0	0		
Rmdn2	31	258	30	37	237	247	212	35	249	212	219	227	34	45		
Lrrc23	4	23	1	3	26	22	15	2	27	15	16	25	3	4		
Igfals	0	1	0	0	2	3	0	0	0	0	2	2	1	0		
Ifngr2	87	1423	76	112	1189	1423	1134	103	1049	1134	1291	1050	127	89		
Daam1	299	1934	351	407	1653	1658	1436	284	2064	1436	1665	1916	450	239		
Shisal1	50	1524	68	109	1370	1679	1172	56	1337	1172	1391	1520	127	47		
Aptx	61	523	79	109	413	440	404	83	434	404	502	484	96	74		
Hadha	552	1300	525	661	1095	1171	1035	551	1261	1035	1149	1314	803	517		
Olfr749	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
Tacr2	1	3	2	0	4	4	2	1	2	2	3	3	0	0		
Fxyd4	0	14	0	0	4	10	10	0	15	10	8	10	0	0		
Serpinb6a	122	599	104	118	487	557	465	117	593	465	533	612	108	93		
Dlc1	317	2321	275	372	1628	1900	1554	325	1744	1554	2014	1788	351	266		
Dpysl4	385	1006	456	566	842	933	873	431	951	873	915	994	593	385		
Vmn2r26	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Rnf180	72	551	98	141	448	483	376	85	526	376	493	528	121	65		
Mtfr2	1	6	0	1	5	1	3	0	13	3	5	3	0	0		
Cdr1	0	4620	0	2	1591	1416	1704	0	2051	1704	4250	2088	1	0		
Inhba	30	285	33	43	277	233	297	34	323	297	255	313	42	37		
Lif	0	15	0	0	2	10	2	0	3	2	7	6	0	0		
Tead1	21	444	20	41	323	321	352	38	338	352	397	361	29	37		
Zfp688	26	110	26	30	134	123	98	28	106	98	106	135	39	28		
Wfdc8	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
St6galnac4	36	620	33	36	454	478	367	44	455	367	589	516	49	41		
Spats2l	217	663	186	258	521	510	425	209	642	425	607	561	248	193		
Naalad2	11	43	9	15	32	25	30	5	38	30	43	44	14	4		
